llm,error_type,bad_rows_count,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_bad_rows_llm,total_rows_llm,bad_rows_pct_llm
kimi-k2-instruct-0905,too_many_fields,1515,5.454938249378893,99.73666886109282,1519,27773,5.469340726604976
kimi-k2-instruct-0905,odd_number_of_symbols,2,0.007201238613041443,0.13166556945358787,1519,27773,5.469340726604976
kimi-k2-instruct-0905,row_structure_error,2,0.007201238613041443,0.13166556945358787,1519,27773,5.469340726604976
llama-3.1-8b-instruct,odd_number_of_symbols,248,0.8646839371012169,4.0129449838187705,6180,28681,21.547365851957743
llama-3.1-8b-instruct,too_many_fields,2336,8.144764826888881,37.799352750809064,6180,28681,21.547365851957743
llama-3.1-8b-instruct,row_structure_error,2472,8.618946340783097,40.0,6180,28681,21.547365851957743
llama-3.1-8b-instruct,too_few_fields,219,0.7635717025208326,3.5436893203883497,6180,28681,21.547365851957743
llama-3.1-8b-instruct,empty_line,905,3.1553990446637146,14.64401294498382,6180,28681,21.547365851957743
qwen3-coder-30b-a3b-instruct,too_many_fields,4217,15.179439185054534,98.32128701328982,4289,27781,15.438609121341923
qwen3-coder-30b-a3b-instruct,empty_line,2,0.007199164896871963,0.046630916297505244,4289,27781,15.438609121341923
qwen3-coder-30b-a3b-instruct,odd_number_of_symbols,59,0.21237536445772293,1.3756120307764048,4289,27781,15.438609121341923
qwen3-coder-30b-a3b-instruct,too_few_fields,11,0.03959540693279579,0.25647003963627885,4289,27781,15.438609121341923
