file_name,file_path,total_rows,bad_lines_count,bad_lines_pct,expected_columns,llm,model_run,run,domain,shot
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/few/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv.csv,1032,1,0.09689922480620156,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,few
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,1026,35,3.41130604288499,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_zero_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/zero/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_zero_csv.csv,1043,35,3.3557046979865772,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,zero
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_few_csv.csv,data/generated/kimi-k2-instruct-0905-run1/hatecrime/few/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1004,0,0.0,20,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,few
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/hatecrime/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1000,0,0.0,20,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,one
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,data/generated/kimi-k2-instruct-0905-run1/hatecrime/zero/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1042,0,0.0,20,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,zero
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_few_csv.csv,data/generated/kimi-k2-instruct-0905-run1/lending/few/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_few_csv.csv,1036,202,19.498069498069498,58,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,few
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/lending/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_one_csv.csv,1031,20,1.939864209505335,58,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,one
kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_zero_csv.csv,data/generated/kimi-k2-instruct-0905-run1/lending/zero/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_zero_csv.csv,1040,0,0.0,58,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,zero
kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_few_csv.csv,data/generated/kimi-k2-instruct-0905-run2/employment/few/csv/kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_few_csv.csv,1003,0,0.0,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,few
kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run2/employment/one/csv/kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_one_csv.csv,1042,0,0.0,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,one
kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_zero_csv.csv,data/generated/kimi-k2-instruct-0905-run2/employment/zero/csv/kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_zero_csv.csv,1044,28,2.681992337164751,18,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,zero
