data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,Law Enforcement Agency,NY,New York,1991-01-01,2,0,1,1,0,White,Unknown,3,Simple Assault,3,Store,Anti-White,Single Victim,False,None
1991,Law Enforcement Agency,CA,California,1991-02-01,0,1,1,1,0,Asian,Unknown,1,Intimidation,1,Street,Anti-Asian,Single Victim,True,Anti-Gay
1991,Law Enforcement Agency,TX,Texas,1991-03-01,1,0,2,2,0,Black,Unknown,2,Aggravated Assault,2,Home,Anti-Black,Single Victim,False,None
1992,Law Enforcement Agency,FL,Florida,1992-04-01,0,1,1,1,0,Hispanic,Unknown,1,Vandalism,1,School,Anti-Hispanic,Single Victim,False,None
1992,Law Enforcement Agency,IL,Illinois,1992-05-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
1992,Law Enforcement Agency,PA,Pennsylvania,1992-06-01,1,0,1,1,0,Asian,Unknown,1,Intimidation,1,Workplace,Anti-Asian,Single Victim,False,None
1993,Law Enforcement Agency,GA,Georgia,1993-07-01,0,1,1,1,0,Black,Unknown,1,Vandalism,1,Hotel,Anti-Black,Single Victim,True,Anti-Female
1993,Law Enforcement Agency,OH,Ohio,1993-08-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Restaurant,Anti-White,Single Victim,False,None
1993,Law Enforcement Agency,NC,North Carolina,1993-09-01,1,0,2,2,0,Hispanic,Unknown,2,Aggravated Assault,2,Street,Anti-Hispanic,Single Victim,False,None
1994,Law Enforcement Agency,NJ,New Jersey,1994-10-01,0,1,1,1,0,Asian,Unknown,1,Intimidation,1,Home,Anti-Asian,Single Victim,True,Anti-Gay
